Model;SS;DU;SO4;OA;BC;WAT
CAM5-ATRAS;1.500 + 1.184E-8 i;1.513 + 2.074E-3 i;1.430 + 1E-8 i;1.530 + 5.665E-3 i;1.950 + 0.790 i;1.334 + 1.638E-9 i
ECHAM6.3-HAM2.3;1.450 + 1.0E-8 i;1.450 + 1.0E-3 i;1.432 + 1.0E-9 i;1.530 + 5.5E-3 i;1.850 + 0.71 i;1.335 + 2.8E-9 i
ECHAM6.3-SALSA2.0;1.49+1.0E-8 i;1.53 + 1.1E-3 i;1.43 + 1.0E-8 i;1.53 + 5.5E-3 i;1.85 + 0.71 i;1.33 + 2.0E-7 i
GFDL-AM4;1.4945 + 1.0E-8 i;1.49 + 2.03E-3 i;1.5298 + 1.E-7 i;1.53 + 6E-3 i;1.75 + 0.44 i;1.333 + 1.96E-9 i
NorESM2;1.5 + 1.0E-8 i;1.53 + 2.4E-3 i;1.43 + 1.0E-8 i;1.53 + 6E-3 i;1.59 + 0.79 i;1.333 + 1.96E-9 i
OsloCTM3v1.01;1.5 + 1.0E-8 i;1.55 + 3.1E-3 i;1.53 + 1.0E-7 i;1.53 + 0.033 i;1.75 + 0.44 i;1.333 + 1.96E-9 i
MIROC-SPRINTARS;1.381 + 4.26E-9 i;1.53 + 2E-3 i;1.430 + 1.00E-8 i;1.530 + 6.00E-3 i;1.75 + 0.44 i;1.333 + 1.96E-9 i
TM5;1.500 + 1.00E-8 i;1.517 + 1.09E-3 i;1.430 + 1.00E-8 i;1.530 + 5.54E-3 i;1.850 + 0.71 i;1.336 + 2.46E-9 i
INCA;1.500 + 1.00E-8 i;1.52 + 1.47E-3 i;1.430 + 1.00E-8 i;1.53 + 5.5E-3 i;1.75 + 0.44 i;1.333 + 1.96e-9 i
GISS-ModelE2p1p1-OMA;1.45 + 0 i;1.564 + 2E-3 i;1.528 + 1.E-7 i;1.527 + 0.014 i;1.85 + 0.71 i;1.334 + 3.91E-8 i
